created,edited,id,name,actors,venue,owner,network,terms,content_type,priority,start,end,live
2018-08-31 14:07:04.034246,2018-08-31 14:07:04.034254,aa26162a-d07c-447c-83c2-e59d7072fb25,2018 NFL Preseason ,NFL Preseason,,NFL,,"Broncos Cardinals, Chargers 49ers, Raiders Seahawks ",NFL,,2018-08-31 02:00:00,2018-08-31 05:30:00,
2018-08-31 14:07:53.817016,2018-08-31 14:07:53.817024,30abff03-171a-437d-a1b7-62a5cf8c07b9,2018 NFL Preseason ,NFL Preseason,,NFL,,"Bills Bears, Vikings Titans, Rams Saints, Cowboys Texans, Packers Chiefs",NFL,,2018-08-31 00:00:00,2018-08-31 03:30:00,
2018-08-31 14:07:53.834688,2018-08-31 14:07:53.834728,44146493-1622-45ef-b2e4-0409a2e80ed8,Premier League 2018-2019,Cardiff City vs Arsenal,,UEFA,,Cardiff City Arsenal,Soccer,,2018-09-02 12:30:00,2018-09-02 14:30:00,
2018-08-31 14:07:53.906824,2018-08-31 14:07:53.906834,883deef8-aefa-491e-9b47-6c0739497e53,Premier League 2018-2019,Manchester United vs Tottenham Hotspur,,UEFA,,Manchester United Tottenham Hotspur,Soccer,,2018-08-27 19:00:00,2018-08-27 21:30:00,
2018-08-31 14:07:53.963276,2018-08-31 14:07:53.963283,04b993fc-1440-49f2-9303-4d69541197ac,2018 NFL Preseason ,NFL Preseason,,NFL,,Packers Raiders,,,2018-08-24 22:30:00,2018-08-25 02:00:00,
2018-08-31 14:07:53.998136,2018-08-31 14:07:53.998143,6c46e3f7-a952-4a9a-b70b-0e4df3bee0ff,Premier League 2018-2019,Liverpool v Brighton Hove Albion,,UEFA,,Liverpool Brighton Hove Albion,,,2018-08-25 12:30:00,2018-08-25 15:00:00,
2018-08-31 14:07:54.014337,2018-08-31 14:07:54.014344,02280e33-b97f-4a8f-a53c-271063044ae5,Premier League 2018-2019,Newcastle United v Chelsea,,UEFA,,Newcastle United Chelsea,,,2018-08-26 11:00:00,2018-08-26 01:30:00,
2018-08-31 14:07:54.300736,2018-08-31 14:07:54.300744,cad461b8-bb05-49b4-82fb-84940f5fd4be,Premier League 2018-2019,Chelsea vs AFC Bournemouth,,UEFA,,Chelsia AFC Bournemouth,Soccer,,2018-09-01 14:00:00,2018-09-01 16:30:00,
2018-08-31 14:07:54.345189,2018-08-31 14:07:54.345285,b0b6dea5-5bd4-4a27-884d-93abcd574315,Premier League 2018-2019,Wolverhampton Wanderers v Manchester City,,UEFA,,Wolverhampton Wanderers Manchester City,,,2018-08-25 07:30:00,2018-08-25 10:00:00,
2018-08-31 14:07:54.367828,2018-08-31 14:07:54.367835,6843fa1f-5619-4dee-bfce-4895937bce38,2018 NFL Preseason ,NFL Preseason,,NFL,,"Bengals Bills, Cardinals Cowboys",,,2018-08-26 16:00:00,2018-08-26 23:30:00,
2018-08-31 14:07:54.391467,2018-08-31 14:07:54.391474,7b820e27-abe6-409f-af67-2319b0d06c53,Premier League 2018-2019,Burnley vs Manchester United,,UEFA,,Burnley Manchester United,Soccer,,2018-09-02 15:00:00,2018-09-02 17:30:00,
2018-08-31 14:15:56.574007,2018-08-31 14:15:56.574017,15e6b572-fe6d-4c18-899e-fa65c1c1acd6,Little League World Series,"Canada, Mexico, Southwest, Southeast, Great Lakes, Midwest",LLWS,ESPN,ESPN,Little League World Series,,1,2018-08-20 15:34:39.086396,2018-08-21 06:00:39.086474,False
